codigo_antiguo,codigo_nuevo,distrito_origen,distrito_destino,empresa_operadora,empresa_abrev,alias,color_hex,estado
7802,,San Juan de Miraflores,Villa María del Triunfo,San Pedro de Pamplona,,Desconocido,#EE0000,Activa
7803,,San Juan de Miraflores,Villa María del Triunfo,San Juan,,Desconocido,#E30E0E,Activa
7804,,San Juan de Miraflores,Villa María del Triunfo,Virtual Express,,Desconocido,#FFD608,Activa
7805,,Chorrillos,Villa María del Triunfo,Turismo San Juanito,,Desconocido,#FF1F1F,Activa
7806,,Chorrillos,Villa María del Triunfo,La Unidad de Villa,,Desconocido,#68E000,Inactiva
7807,,San Juan de Miraflores,Villa el Salvador,Imagen de Jesús,ETIMAJESA,Desconocido,#FF3030,Activa
7808,,Chorrillos,Villa María del Triunfo,Urbano Limatambo,ETULSAC,Desconocido,#19821C,Inactiva
7809,,Chorrillos,Villa María del Triunfo,Generales Peruanos,TRAGEPSA,Desconocido,#E01919,Inactiva
7810,,San Juan de Miraflores,San Juan de Miraflores,Líder Pamplona Alta,,Desconocido,#0C38EB,Inactiva
7811,,San Juan de Miraflores,Villa El Salvador,Líder Pamplona Alta,,Desconocido,#0A30C9,Activa
7896,,San Juan de Miraflores,Villa María del Triunfo,Torres del Mirador,,Desconocido,#FFFFF1,Inactiva
8101,,Pachacámac,Carabayllo,Palmari,,Desconocido,#A62999,Inactiva
8102,,Pachacámac,Carabayllo,Salamanca Parral,ETSPSA,Desconocido,#2C6632,Activa
8103,,Villa El Salvador,Puente Piedra,Urbano Los Chinos,ETUCHISA,Desconocido,#00B8FF,Inactiva
8104,,Villa El Salvador,Carabayllo,Express del Perú,GEP,Desconocido,#E30000,Activa
8105,,Villa El Salvador,Carabayllo,El Rápido,,Desconocido,#D10F0F,Activa
8106,,Pachacámac,Puente Piedra,Nuevo Perú,,Desconocido,#00B8FF,Inactiva
8107,,Villa El Salvador,Carabayllo,San Felipe Express,,Desconocido,#091080,Activa
8108,,Villa El Salvador,Puente Piedra,El Cóndor,,Desconocido,#00B8FF,Activa
8109,,Pachacámac,Ancón,Virgen de la Puerta,VIPUSA,Desconocido,#39913C,Activa
8110,,Lurín,Carabayllo,Roluesa,,Desconocido,#00B8FF,Activa
8111,,Pachacámac,Ancón,Nuevo Perú,,Desconocido,#0BB8FF,Activa
8112,,Villa El Salvador,Carabayllo,Norcom Corporation,,Desconocido,#D90000,Activa
8201,,Pachacámac,San Martín de Porres,Unidos de Pasajeros,ETUPSA,Desconocido,#ACCB56,Activa
8202,,Lurín,Independencia,Servicio Rápido Ramiro Prialé Prialé,ETRAPSA,Desconocido,#0561FF,Inactiva
8203,,Pachacámac,Los Olivos,Roluesa,,Desconocido,#13EDED,Inactiva
8204,,Villa María del Triunfo,San Martín de Porres,Sur Express,,Desconocido,#FFE710,Inactiva
8205,,Villa María del Triunfo,San Martín de Porres,San Judas Tadeo,,Desconocido,#A89574,Inactiva
8206,,Villa María Del Triunfo,San Martin de Porres,Urbano El Paraíso,ETUPSA,Desconocido,#E3C634,Inactiva
8207,,Villa El Salvador,Rímac,Real de Villa,ETSEMURVSA,Desconocido,#FFF825,Inactiva
8208,,Pachacámac,San Martin de Porres,Real Star del Perú,,Desconocido,#D2B18B,Inactiva
8209,,Villa María Del Triunfo,San Martin de Porres,Simón Bolívar,ETSIBOSA,Desconocido,#00B8FF,Activa
8210,,Pachacámac,Ancón,Virgen de la Puerta,VIPUSA,Desconocido,#39913C,Inactiva
8211,,Villa María del Triunfo,San Martín de Porres,Sur Express,,Desconocido,#00EABB,Activa
8212,,Pachacámac,San Martin de Porres,Real Star del Perú,,Desconocido,#00B8FF,Activa
8213,,Villa María del Triunfo,San Martin de Porres,Esfuerzos Unidos,ETEUSA,Desconocido,#276913,Inactiva
8214,,Villa María del Triunfo,San Martin de Porres,Salvador,ETSSSAC,Desconocido,#FF8F1F,Activa
8215,,Pachacámac,San Martin de Porres,Unidos Chama,,Desconocido,#DF3322,Inactiva
8301/TVE25,,Villa María del Triunfo,San Juan de Lurigancho,Unidos Chama,,Desconocido,#DF3322,Inactiva
8302/CH24,,Villa El Salvador,San Juan de Lurigancho,Luis Banchero Rossi,LUBARSA,Desconocido,#FFFF1C,Activa
8303,,Villa María del Triunfo,San Juan de Lurigancho,Los Laureles de Lurín,ETMULLSA,Desconocido,#0CB7F2,Inactiva
8304,,Villa María del Triunfo,San Martín de Porres,Esfuerzos Unidos,ETEUSA,Desconocido,#276913,Inactiva
8305,,Villa María del Triunfo,San Martín de Porres,Salvador,ETSSSAC,Desconocido,#FF8F1F,Inactiva
8306,,Villa El Salvador,San Juan de Lurigancho,Santo Cristo de Pachacamilla,ETRASCPSA,Desconocido,#7C47A1,Activa
