codigo_antiguo,codigo_nuevo,distrito_origen,distrito_destino,empresa_operadora,empresa_abrev,alias,color_hex,fuente
CR69,1154,Carabayllo,Pueblo Libre,Consorcio Briza,,Ninguno,#100C8F,wikipedia
CR78,1155,Callao,Lima,Holrex,,Ninguno,#FF860D,wikipedia
ICR02B,1156,Callao,Lima,Nuevo Reynoso,ETYSNURSA,Ninguno,#00EEFF,wikipedia
IM19,1157,Ventanilla,Lima,Sol y Mar,,Ninguno,#255710,wikipedia
IM20,1158,Ventanilla,Lima,SIT,SIT,Ninguno,#FFFFF1,wikipedia
IM21,1159,Callao,Jesús María,Translima,,La 21,#0099FF,wikipedia
IM34B,1160,Ventanilla,Ate,Chimpum Callao,,La OP,#FF872B,wikipedia
IM40,1161,Callao,Ate,Víctor Raúl Haya de La Torre,ETVRHTSA,La 89,#37880B,wikipedia
IM47,1162,Callao,San Miguel,Consorcio Briza,,Ninguno,#8C0B01,wikipedia
IO14,1163,Mi Perú,Santiago de Surco,Avagon,,La SV,#37FFD7,wikipedia
IO19,1164,Callao,Independencia,Corazón de Jesús,CTCJ,Ninguno,#000880,wikipedia
IO38B,1165,Los Olivos,Callao,Consorcio Briza,,Ninguno,#0011FF,wikipedia
IO44B,1166,Carabayllo,San Miguel,Vía Bus,ETVIBUSAC,Ninguno,#032DFF,wikipedia
IO45,1167,Carabayllo,Callao,Consorcio Briza,,Ninguno,#634941,wikipedia
IO47,1168,Ventanilla,Lince,La Nueva Estrella,,Ninguno,#FFA305,wikipedia
IO75B,1169,Mi Perú,Lima,Cielo Mar y Tierra,ETCIMATISA,Ninguno,#808080,wikipedia
OM09,1170,Callao,Lima,Perla Argentina,PASA,La 93,#18D6C9,wikipedia
OM16,1171,Santa Rosa,La Victoria,Álamo Express,ETALEXSA,La DC - La SB,#00B8FF,wikipedia
OM23,1172,San Martín de Porres,Rímac,Niño Jesús,ETUNIJESA,Ninguno,#078ED1,wikipedia
OM32,1173,San Martín de Porres,Santiago de Surco,Consorcio Movil Express,,La 9V,#0CBE00,wikipedia
OM33,1174,San Martín de Porres,San Martín de Porres,Los Ángeles del Perú,CILAP,La D1,#FF0000,wikipedia
1308,1175,Puente Piedra,San Juan de Lurigancho,Pegasso Express,,La P,#02A9FD,wikipedia
1404,1176,Comas,Ate,Virgen de La Puerta,EVIPUSA,La 6M - La Collique,#FF9E00,wikipedia
1411,1177,Carabayllo,Ate,Cruz del Centro,,La 02,#002FC9,wikipedia
1412,1178,Carabayllo,Ate,La Encantada,,La E,#02A9FD,wikipedia
1701,1179,Ancón,Santiago de Surco,Turismo e Inversiones Señor de La Soledad,SESOSA,El Anconero,#BABABA,wikipedia
1702,1180,Carabayllo,San Juan de Miraflores,Nueva América,TRANSNASA,La A,#FA8E00,wikipedia
1703,1181,Puente Piedra,Chorrillos,Perú,,La 70,#247506,wikipedia
1704,1182,Carabayllo,San Juan de Miraflores,Vencedores C&P Inversiones,,La V,#3B68FF,wikipedia
1706,1183,Carabayllo,Santiago de Surco,Urano Tours,,La A,#A6411A,wikipedia
1801,1184,Santa Rosa,Pachacámac,Edilberto Ramos,ETERSAC,La B39 - La C,#00B8FF,wikipedia
1802,1185,Puente Piedra,Villa El Salvador,Urbano Los Chinos,ETUCHISA,La A - El Chino,#00B8FF,wikipedia
2303,1187,San Martín de Porres,San Juan de Lurigancho,Señor Nazareno,,Ninguno,#FFA305,wikipedia
2305,1188,San Martin De Porres,San Juan De Lurigancho,Desconocido,,Desconocido,#FFFFFF,atu_pdf
2404,1189,San Martín de Porres,La Molina,El Inti,ETINSA,La 35B,#239911,wikipedia
2405,1190,San Martín de Porres,Santa Anita,Inversiones El Rápido,ESTIRSA,Ninguno,#0839FF,wikipedia
2406,1191,San Martín de Porres,Ate,Los Excelentes Unidos,,La 35A,#085E02,wikipedia
2407,1192,Independencia,Ate,El Sol de Santa Clara,ETISSA,Ninguno,#FFEE00,wikipedia
2408,1193,Independencia,Ate,Virgen de la Concepción,ETVIRCOSA,La 148,#A31E0F,wikipedia
2409,1194,San Martín de Porres,Ate,Virgen de Fátima,EVIFASA,La B,#A5C5EB,wikipedia
2411,1195,San Martín de Porres,Lurigancho/Chosica,El Rápido,,La 42 - El Rápido,#D90000,wikipedia
2414,1196,Los Olivos,Santa Anita,Cruz del Centro,,La A,#0006CC,wikipedia
2701,1197,San Martín de Porres,Santiago de Surco,Diecisiete de Junio,ETRADIJUSA,La 44A,#EB1515,wikipedia
2703,1199,San Martín de Porres,Chorrillos,36 San Martín de Porres,ET36SMPSA,La 36,#F5CC6C,wikipedia
2803,1200,Lince,Villa María del Triunfo,Ingaruca,TRAINSAC,La 9A,#169E11,wikipedia
