seccion,grupo,ruta,ruta_color,codigo_anterior,codigo_anterior_color,alias,origen,destino,empresa,abreviacion
actual,Rutas 1100,1136,#8C6043,CR10,#8C6043,La 120,Callao,Lima,Consorcio Nueva Unión S.A.,
actual,Rutas 1100,1137,#DF2222,CR12,#DF2222,,Carabayllo,La Victoria,Empresa de Transportes y Servicios San Antonio S.A.,
actual,Rutas 1100,1138,#F7FF0F,CR17,#F7FF0F,,Carabayllo,San Miguel,Multiservicios e Inversiones Chimpum Callao S.A.,
actual,Rutas 1100,1139,#391170,CR27,#391170,,Comas,Pueblo Libre,Consorcio Grupo Uvita S.A.C.,
actual,Rutas 1100,1140,#A322BD,CR30,#A322BD,,Callao,Lima,Empresa de Transportes y Servicios Milagroso Inmaculado Señor Cautivo de Ayabaca S.A. (ETMISCASA),ETMISCASA
actual,Rutas 1100,1141,#BA0707,CR31,#BA0707,,Callao,Santiago de Surco,Empresa de Transportes del Fondo Colectivo de Ayuda Mutua S.A. (ETFOCAMSA),ETFOCAMSA
actual,Rutas 1100,1142,#F5D50A,CR32,#F5D50A,,Ventanilla,Lima,Empresa de Transporte y Servicios Proyecto 7 S.A.,
actual,Rutas 1100,1143,#FFE642,CR38,#FFE642,La 524,Callao,Santiago de Surco,Gruplan S.A.,
actual,Rutas 1100,1144,#38B6FF,CR40,#38B6FF,Ninguna,Callao,Lima,Empresa de Transportes y Servicios Conexos Néstor Gambetta S.A.,
actual,Rutas 1100,1145,#D6CBC1,CR43,#D6CBC1,,Carabayllo,La Victoria,Empresa de Transportes y Servicios Callao S.A. (TRANSCALLAO),TRANSCALLAO
actual,Rutas 1100,1146,#EDB313,CR45,#EDB313,,La Punta,Lima,Empresa de Transportes San Benito de Palermo S.A. (ETSABEPSA),ETSABEPSA
actual,Rutas 1100,1147,#FF00A2,CR46,#FF00A2,,La Punta,Lima,Empresa de Transportes y Servicios Generales Colonial S.A.,
actual,Rutas 1100,1148,#941212,CR47,#941212,,Callao,Lima,Multiservicios de Buses de Waylluy S.A. (Multibus Way S.A.),MULTIBUS WAY S.A.
actual,Rutas 1100,1149,#035220,CR48,#035220,,Callao,Lima,Multiservicios de Buses de Waylluy S.A. (Multibus Way S.A.),MULTIBUS WAY S.A.
actual,Rutas 1100,1150,#EFFF12,CR52,#EFFF12,,Callao,Lima,Empresa de Transportes 102 S.A.,
actual,Rutas 1100,1151,#AD3A10,CR56,#AD3A10,,Ventanilla,Lima,Empresa de Transportes Mi Perú Ventanilla S.A. (EPTEVESA),EPTEVESA
actual,Rutas 1100,1152,#136919,CR61,#136919,,Ventanilla,Lima,Empresa de Servicios de Transportes Lima Ventanilla Turismo S.A.C. (LIVENTUR),LIVENTUR
actual,Rutas 1100,1153,#400707,CR62,#400707,,Carabayllo,Carabayllo,Empresa de Transportes San Ignacio de Loyola S.A. (ETRASILSA),ETRASILSA
actual,Rutas 1100,1154,#100C8F,CR69,#100C8F,,Carabayllo,Pueblo Libre,Consorcio Briza,
actual,Rutas 1100,1155,#FF860D,CR78,#FF860D,,Callao,Lima,Grupo Holrex S.A. / Holding Real Express S.A,
actual,Rutas 1100,1156,#00EEFF,ICR02B,#00EEFF,,Callao,Lima,Empresa de Transportes y Servicios Nuevo Reynoso S.A. (ETYSNURSA),ETYSNURSA
actual,Rutas 1100,1157,#255710,IM19,#255710,,Ventanilla,Lima,Cooperativa de Servicios Especiales Transportes Sol y Mar Ltda.,
actual,Rutas 1100,1158,#FFFFF1,IM20,#FFFFF1,,Ventanilla,Lima,Servicio Interconectado de Transporte S.A.C. (SIT),SIT
