sequence,direction,stop_id,stop_name,stop_url,lat,lon
54,,991691,,https://wikiroutes.info/es/stops/991691,,
55,,991692,,https://wikiroutes.info/es/stops/991692,,
56,,991693,,https://wikiroutes.info/es/stops/991693,,
57,,991694,,https://wikiroutes.info/es/stops/991694,,
58,,991696,,https://wikiroutes.info/es/stops/991696,,
59,,2038820,,https://wikiroutes.info/es/stops/2038820,,
60,,2038821,,https://wikiroutes.info/es/stops/2038821,,
61,,823662,,https://wikiroutes.info/es/stops/823662,,
62,,823664,,https://wikiroutes.info/es/stops/823664,,
63,,739365,,https://wikiroutes.info/es/stops/739365,,
64,,739366,,https://wikiroutes.info/es/stops/739366,,
65,,827156,,https://wikiroutes.info/es/stops/827156,,
66,,827157,,https://wikiroutes.info/es/stops/827157,,
67,,827158,,https://wikiroutes.info/es/stops/827158,,
68,,827159,,https://wikiroutes.info/es/stops/827159,,
69,,828187,,https://wikiroutes.info/es/stops/828187,,
70,,828188,,https://wikiroutes.info/es/stops/828188,,
71,,1019066,,https://wikiroutes.info/es/stops/1019066,,
72,,828189,,https://wikiroutes.info/es/stops/828189,,
73,,828190,,https://wikiroutes.info/es/stops/828190,,
74,,1019067,,https://wikiroutes.info/es/stops/1019067,,
75,,828191,,https://wikiroutes.info/es/stops/828191,,
76,,1019068,,https://wikiroutes.info/es/stops/1019068,,
77,,828192,,https://wikiroutes.info/es/stops/828192,,
78,,1019070,,https://wikiroutes.info/es/stops/1019070,,
79,,828193,,https://wikiroutes.info/es/stops/828193,,
80,,828196,,https://wikiroutes.info/es/stops/828196,,
81,,1019071,,https://wikiroutes.info/es/stops/1019071,,
82,,828197,,https://wikiroutes.info/es/stops/828197,,
83,,1002023,,https://wikiroutes.info/es/stops/1002023,,
84,,828198,,https://wikiroutes.info/es/stops/828198,,
85,,1002024,,https://wikiroutes.info/es/stops/1002024,,
86,,828199,,https://wikiroutes.info/es/stops/828199,,
87,,828200,,https://wikiroutes.info/es/stops/828200,,
88,,1304139,,https://wikiroutes.info/es/stops/1304139,,
89,,827193,,https://wikiroutes.info/es/stops/827193,,
90,,827194,,https://wikiroutes.info/es/stops/827194,,
91,,827197,,https://wikiroutes.info/es/stops/827197,,
92,,827198,,https://wikiroutes.info/es/stops/827198,,
93,,1159602,,https://wikiroutes.info/es/stops/1159602,,
94,,737375,,https://wikiroutes.info/es/stops/737375,,
95,,1019072,,https://wikiroutes.info/es/stops/1019072,,
96,,828206,,https://wikiroutes.info/es/stops/828206,,
97,,828207,,https://wikiroutes.info/es/stops/828207,,
98,,828208,,https://wikiroutes.info/es/stops/828208,,
99,,1019073,,https://wikiroutes.info/es/stops/1019073,,
100,,828209,,https://wikiroutes.info/es/stops/828209,,
101,,761381,,https://wikiroutes.info/es/stops/761381,,
102,,761382,,https://wikiroutes.info/es/stops/761382,,
103,,827081,,https://wikiroutes.info/es/stops/827081,,
104,,827082,,https://wikiroutes.info/es/stops/827082,,
105,,793522,,https://wikiroutes.info/es/stops/793522,,
106,,793523,,https://wikiroutes.info/es/stops/793523,,
107,,817744,,https://wikiroutes.info/es/stops/817744,,
108,,817745,,https://wikiroutes.info/es/stops/817745,,
