seccion,grupo,ruta,ruta_color,alias,origen,destino,empresa,estado_de_la_ruta
anterior,Rutas 3200,3205,#F0F3AF,La 2H,San Juan de Lurigancho,San Martín de Porres,Empresa de Transportes y Servicios Huancayo City S.A. (ETHUCSA 2H),Activa
anterior,Rutas 3200,3206,#FFFF00,La 7,San Juan de Lurigancho,San Martín de Porres,Inversiones y Servicios Múltiples San Ildefonso S.A.C.,Inactiva
anterior,Rutas 3300,3301,#FF8533,La San Germán,San Juan de Lurigancho,San Juan de Lurigancho,Empresa de Servicios de Transportes San Germán S.A.,Inactiva
anterior,Rutas 3300,3302 ​,#570B0B,La 38,San Juan de Lurigancho,El Agustino,Empresa de Transportes Progreso S.A. (ETPSA),Inactiva
anterior,Rutas 3400,3401,#FF1008,Ninguno,San Juan de Lurigancho,Ate,Empresa de Transportes Yagasol S.A.C.,Inactiva
anterior,Rutas 3400,3402,#90333B,La 52C,San Juan de Lurigancho,Ate,Empresa de Transportes Unidos S.A. (ETUSA),Inactiva (activa de forma informal)
anterior,Rutas 3400,3403 / TVE27,#E81D1D,La 41,San Juan de Lurigancho,Lurigancho/Chosica,Empresa de Transporte Santa Rosa de Jicamarca S.A. (ETSRJSA),Activa
anterior,Rutas 3400,3404,#DB0000,La C,San Juan de Lurigancho,Lurigancho/Chosica,Empresa de Transporte Santa Rosa de Jicamarca S.A. (ETSRJSA),Activa
anterior,Rutas 3400,3405,#FF0F0F,La 75A,San Juan de Lurigancho,Ate,Empresa de Transportes Las Águilas 75 S.A. (ETLA75SA),Activa
anterior,Rutas 3400,3406,#0758B5,La IC,San Juan de Lurigancho,Ate,Multiservicios e Inversiones Virgen de Copacabana S.A.C. (MIVICOSAC),Inactiva
anterior,Rutas 3400,3407 ​,#FFB60A,La M,San Juan de Lurigancho,La Molina,Empresa de Transportes y Servicios Múltiples Los Magníficos S.A.,Inactiva
anterior,Rutas 3400,3408,#4F200C,La 40,San Juan de Lurigancho,La Molina,Empresa de Transportes Cuarenta Integrada S.A. (ETRANCISA),Activa
